dealerBranchId,dealerCode,branchId,platformBranchId,assetClass,relationship,sessionPermission
BARCLAYS,BARX,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101710,BARD,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100613,BBVA,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100613,LTIN,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
BARCLAYS,BCAP,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100441,BKCM,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101661,BMOC,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
BNP,PARI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A87716,BNPP,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A95676,BOFA,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
BARCLAYS,BCAP,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101755,SANT,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B76084,CABR,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100534,CFCO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100546,CITI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B81589,LYON,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B81589,CALY,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
CSFB,CS,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
CSFB,FBCO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101627,CWMK,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
DB,DBKS,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
DB,DB,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
DAIWA,DAIW,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102570,FTSC,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100061,GSCO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102604,CAPM,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100061,GSCO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100061,GS,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100792,HSBC,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
MIZUHO,MZHO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A70132,JANY,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100054,JEFF,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100194,JPMS,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B34675,JPM,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100605,JSEB,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102784,KEYB,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101665,KING,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A32136,LOOP,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A56810,LYSI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B44075,MADV,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A95676,BAML,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
MS,MSCO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B21339,FBSB,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A54037,MUFG,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
MIZUHO,MZHO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102924,SMBC,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102924,SUMI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
NOMURA,NMRA,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
NOMURA,NOMX,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B76086,OHIO,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A42867,WFS,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A42867,WCHV,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A74068,PPSL,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A87716,PTLV,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101290,RBCD,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102604,NWMT,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B95795,RILY,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102524,RJFI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101290,RBCD,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100166,SG,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1B95692,SPGS,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101691,STCM,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102372,STFL,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
100916,SUFI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
102924,SUMI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A76341,SWST,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101697,TD,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
101697,TDSI,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
1A97423,TRYN,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
UBS,UBSW,1A68846,1A75193,FixedIncome,Relationship:Bilateral,,
